frame,x_offset,turn
1,-3.0,straight
2,0.0,left
3,-3.0,left
4,-6.0,right
5,-9.0,right
6,-12.0,right
7,-15.0,right
8,-18.0,right
9,-21.0,right
10,-18.0,left
11,-21.0,right
12,-24.0,right
13,-27.0,right
14,-30.0,right
15,-33.0,right
16,-36.0,left
17,-33.0,left
18,-36.0,right
19,-33.0,left
20,-30.0,left
21,-27.0,left
22,-24.0,left
23,-27.0,left
24,-24.0,left
25,-21.0,left
26,-24.0,left
27,-21.0,left
28,-18.0,left
29,-21.0,left
30,-18.0,left
31,-15.0,left
32,-12.0,left
33,-15.0,right
34,-12.0,left
35,-15.0,left
36,-18.0,left
37,-21.0,left
38,-24.0,right
39,-21.0,left
40,-18.0,left
41,-15.0,left
42,-12.0,left
43,-9.0,left
44,-6.0,left
45,-3.0,left
46,0.0,left
47,3.0,left
48,6.0,left
49,9.0,left
50,12.0,left
51,15.0,left
52,18.0,left
53,15.0,left
54,12.0,straight
55,9.0,left
56,6.0,left
57,3.0,right
58,0.0,right
59,-3.0,right
60,-6.0,right
61,-9.0,right
62,-6.0,left
63,-9.0,right
64,-12.0,right
65,-15.0,left
66,-18.0,left
67,-21.0,left
68,-18.0,left
69,-15.0,left
70,-12.0,left
71,-9.0,left
72,-6.0,left
73,-3.0,left
74,0.0,left
75,3.0,left
76,6.0,left
77,3.0,right
78,6.0,left
79,9.0,left
80,12.0,left
81,15.0,left
82,18.0,left
83,21.0,left
84,24.0,left
85,27.0,left
86,26.852227290396105,left
87,29.852227290396105,left
88,32.8522272903961,left
89,29.8522272903961,right
90,26.8522272903961,right
91,29.8522272903961,left
92,32.8522272903961,left
93,35.8522272903961,left
94,38.8522272903961,left
95,41.8522272903961,left
96,44.8522272903961,left
97,41.8522272903961,left
98,44.8522272903961,left
99,47.8522272903961,left
100,50.8522272903961,left
101,53.8522272903961,left
102,50.8522272903961,right
103,47.8522272903961,right
104,44.8522272903961,right
105,41.8522272903961,right
106,38.8522272903961,right
107,35.8522272903961,right
108,32.8522272903961,right
109,29.8522272903961,right
110,26.8522272903961,right
111,23.8522272903961,right
112,20.8522272903961,right
113,17.8522272903961,right
114,14.852227290396101,left
115,11.852227290396101,right
116,8.852227290396101,right
117,5.852227290396101,left
118,2.852227290396101,right
119,-0.147772709603899,right
120,-3.147772709603899,right
121,-6.147772709603899,right
122,-9.147772709603899,right
123,-12.147772709603899,right
124,-15.147772709603899,right
125,-18.1477727096039,right
126,-21.1477727096039,right
127,-24.1477727096039,right
128,-27.1477727096039,right
129,-30.1477727096039,right
130,-33.1477727096039,right
131,-36.1477727096039,right
132,-33.1477727096039,left
133,-30.1477727096039,straight
134,-33.1477727096039,right
135,-36.1477727096039,right
136,-39.1477727096039,right
137,-36.1477727096039,right
138,-33.1477727096039,right
139,-36.1477727096039,right
140,-39.1477727096039,right
141,-42.1477727096039,right
142,-45.1477727096039,right
143,-48.1477727096039,right
144,-51.1477727096039,right
145,-54.1477727096039,right
146,-57.1477727096039,right
147,-60.1477727096039,right
148,-63.1477727096039,right
149,-66.1477727096039,right
150,-69.1477727096039,right
151,-66.1477727096039,right
152,-63.1477727096039,right
153,-60.1477727096039,right
154,-62.37162236228481,right
155,-59.37162236228481,left
156,-61.774075127927595,right
157,-64.7740751279276,right
158,-67.7740751279276,right
159,-70.7740751279276,right
160,-73.7740751279276,right
161,-70.7740751279276,right
162,-73.7740751279276,right
163,-76.7740751279276,right
164,-73.7740751279276,right
165,-76.7740751279276,right
166,-79.7740751279276,right
167,-76.7740751279276,right
168,-79.7740751279276,right
169,-82.7740751279276,right
170,-79.7740751279276,straight
171,-76.7740751279276,straight
172,-73.7740751279276,straight
173,-70.7740751279276,straight
174,-67.7740751279276,straight
175,-64.7740751279276,straight
176,-61.7740751279276,straight
177,-58.7740751279276,straight
178,-55.7740751279276,straight
179,-52.7740751279276,straight
180,-49.7740751279276,straight
181,-46.7740751279276,straight
182,-43.7740751279276,straight
183,-40.7740751279276,straight
184,-43.7740751279276,right
185,-46.7740751279276,right
186,-43.7740751279276,straight
187,-46.7740751279276,right
188,-43.7740751279276,left
189,-40.7740751279276,straight
190,-37.7740751279276,straight
191,-34.7740751279276,straight
192,-37.7740751279276,right
193,-34.7740751279276,straight
194,-31.774075127927603,right
195,-28.774075127927603,right
196,-25.774075127927603,right
197,-22.774075127927603,straight
198,-19.774075127927603,left
199,-22.774075127927603,straight
200,-19.774075127927603,left
201,-16.774075127927603,left
