frame,x_offset,turn
3,-294.92185231620715,right
4,-294.92185231620715,right
5,-108.69746166390325,straight
6,-108.69746166390325,right
7,-246.90668338147026,straight
8,-100.84308024188351,straight
9,-113.46096822506274,straight
10,-6.927840169971887,straight
11,-11.428786172241871,straight
12,-11.428786172241871,right
13,-11.428786172241871,right
14,-11.428786172241871,right
15,-11.428786172241871,right
16,172.81406398815693,left
17,172.81406398815693,right
18,172.81406398815693,right
19,172.81406398815693,right
20,172.81406398815693,right
21,50.69154282502632,left
22,25.357930753052756,straight
23,19.049057579847045,straight
24,-23.600275458863848,straight
25,-23.600275458863848,right
26,-23.600275458863848,right
27,-23.600275458863848,right
28,18.727471327455874,straight
