frame,x_offset,turn
4,221.2034117220204,straight
5,221.2034117220204,left
6,221.2034117220204,left
7,221.2034117220204,left
8,-19.107730309611384,left
9,76.88618234130979,straight
10,20.308387656578816,left
11,-2.1538787836838083,straight
12,-4.604799128397417,straight
13,187.91183713642374,straight
14,124.926934646767,straight
15,248.91788072093868,straight
16,249.57360453076546,straight
17,-6.6724868858131,straight
18,-6.6724868858131,right
19,-6.6724868858131,straight
20,-6.6724868858131,straight
21,-6.6724868858131,straight
22,-6.6724868858131,straight
23,-6.6724868858131,straight
24,-6.6724868858131,straight
25,-6.6724868858131,right
26,-6.6724868858131,straight
27,-6.6724868858131,straight
28,-6.6724868858131,straight
29,-6.6724868858131,straight
30,-6.6724868858131,straight
31,-6.6724868858131,right
32,-6.6724868858131,straight
33,-6.6724868858131,straight
34,-6.6724868858131,straight
35,-6.6724868858131,right
36,-6.6724868858131,straight
37,-6.6724868858131,straight
38,-6.6724868858131,straight
