frame,x_offset,turn
1,-542.3065466164152,right
2,-542.3065466164152,left
3,-292.54640914775814,right
4,47.0669370212579,right
5,-601.399400298913,left
6,254.628675571352,left
7,-368.80937380849514,right
8,-104.106217104601,right
9,423.9124779601759,left
10,18.03138736821029,left
11,149.12632000696135,left
12,192.7911315386375,left
13,203.5850691230446,left
14,118.0728789453791,left
15,299.38002925160504,left
16,390.5095064863765,left
17,280.8831360208237,left
18,314.50208974645693,left
19,295.4816097405976,left
20,346.92656487310205,left
21,405.18101620069183,left
22,306.1411377387992,straight
23,455.36861261327886,left
24,290.44273039320035,right
25,373.28969832633186,left
26,477.8605507903367,left
27,163.78993169562978,left
28,312.3055363450677,left
29,181.82044605377916,right
30,267.5809286701931,left
31,327.96455773502294,left
32,210.82127703723302,right
33,433.9881231972272,left
34,290.5581994223676,left
35,246.37062093347527,left
36,302.2704424884042,left
37,377.37869992864853,straight
38,366.06322492057416,left
