frame,x_offset,turn
1,-0.9099129499217498,straight
2,-0.15803402012001244,straight
3,-2.353175538151924,straight
4,-3.416624170389441,straight
5,-3.4531306231394643,straight
6,-4.037921894255697,straight
7,-5.63989709510508,straight
8,-4.680798539872077,straight
9,-6.374496862900189,straight
10,-7.274370828444093,straight
11,-8.375461561420117,straight
12,-8.846749628775962,straight
13,-11.846749628775962,straight
14,-11.587494518583453,straight
15,-9.91145652600536,straight
16,-8.684084975584204,straight
17,-5.684084975584204,straight
18,-4.67434153232819,straight
19,-5.017681442766437,straight
20,-5.347338718516874,straight
21,-3.1562900592201864,straight
22,-4.51428367792852,straight
23,-5.123197044317115,straight
24,-5.252638468011075,straight
25,-5.7211425948051815,straight
26,-2.7899070917724273,straight
27,-4.069509096360735,straight
28,-5.064044734329277,straight
29,-3.2949853383673524,straight
30,-5.120254229744363,straight
31,-5.525431447538212,straight
32,-8.192310853710548,straight
33,-7.249055482746391,straight
34,-4.6694804349205175,straight
35,-5.253161621272797,straight
36,-3.3643089926824827,straight
37,-1.7903274022395417,straight
38,-2.725089895826182,straight
39,-4.417036707943426,straight
40,-6.316006196525383,straight
41,-7.70148885366647,straight
42,-6.4194924103580275,straight
43,-6.295469549171818,straight
44,-3.486965701390788,straight
45,-5.226184566574069,straight
46,-6.377575162463819,straight
47,-5.039118727733471,straight
48,-5.459648407434068,straight
49,-6.251295213459282,straight
50,-6.649038745871868,straight
51,-5.269660725036867,straight
52,-2.821532692673539,straight
53,-4.7794159570904835,straight
54,-5.101349525314587,straight
55,-6.060735953683432,straight
56,-6.931678218045862,straight
57,-7.075601346189059,straight
58,-5.657857230085016,straight
59,-5.097908433331158,straight
60,-4.0394075140987535,straight
61,-3.9194812354172983,straight
62,-2.468957031808967,straight
63,-2.420601744552162,straight
64,-2.541568481804237,straight
65,-0.36396147398939105,straight
66,-0.5758660781820819,straight
67,2.197606701087607,straight
68,4.5004032965417755,straight
69,5.996048793008412,straight
70,8.904674385965267,straight
71,10.600291763512873,straight
72,10.958995751014438,straight
73,11.733375756366192,straight
74,12.36219684670961,straight
75,13.271838337248996,straight
76,14.499095469002215,straight
77,15.109640266640874,straight
78,15.976562762506166,straight
79,14.997425132625485,straight
80,14.270821123075363,straight
81,14.251793981237459,straight
82,15.268678780565986,straight
83,15.854294905885384,straight
84,17.064425041913637,straight
85,14.623282660515633,straight
86,17.623282660515635,straight
87,14.623282660515635,straight
88,11.623282660515635,straight
89,8.671980610220004,straight
90,7.649928112607472,straight
91,4.649928112607472,straight
92,3.479591126492746,straight
93,1.658958512844535,straight
94,3.8979412356621537,straight
95,2.6760161996061878,straight
96,0.13348420553104967,straight
97,0.9565812979324297,straight
98,-0.3881061359057534,straight
99,0.9583651909290705,straight
100,3.270970142284271,straight
101,2.8333578184759642,straight
102,3.9066624675250896,straight
103,3.9798659389275444,straight
104,2.700929661244401,straight
105,4.323740738167725,straight
106,1.873432412477436,straight
107,2.6679860160180464,straight
108,0.8834064486862969,straight
109,0.6636937029849228,straight
110,0.32610071386603234,straight
111,0.7240339054175642,straight
112,-0.5237337815113785,straight
113,-1.0185918685277418,straight
