frame,x_offset,turn
1,-22.579942936017005,straight
1,-25.305031845784015,straight
1,-13.482240290039272,straight
1,-12.2572618981917,straight
1,-7.709837482857097,straight
1,2.086321930718327,straight
1,-3.9057139160959196,straight
1,170.35139948578978,left
1,-53.908863904489635,straight
1,-16.243154209412182,straight
1,-166.22122659021545,straight
1,233.28392130257794,left
1,-453.653028821641,right
1,-135.940066113091,right
1,584.3067649045433,left
1,-79.38969144495604,right
1,-359.4209755874797,right
1,176.63810571489535,right
1,19.408731808731886,left
1,-109.99514986007046,right
1,-122.86773410654746,right
1,-95.33812470575492,right
