frame,x_offset,turn
1,-921.2963803012955,right
2,-925.529704647427,right
3,-1165.4854724320808,right
4,-903.8593271740688,right
5,-771.9969244570681,right
6,-725.3920785738113,right
7,-923.8736158917202,right
8,-1141.9205251945568,right
9,-659.2277557001686,right
10,-1159.1533109196153,right
11,-776.4861433952102,right
12,-763.097105972411,left
13,-658.4016681455505,right
14,-769.6527607283016,right
15,-924.3618233831966,right
16,-774.049995605212,right
17,-764.3471764763485,right
18,-1162.0081547943482,right
19,-779.8609665246938,right
20,-764.4686365547021,right
21,-764.4686365547021,left
22,-1153.6638885420134,right
23,-866.2322038174531,right
24,-31.263670558536205,left
25,-1058.5266271542298,right
26,-1058.5266271542298,left
27,-594.2103573131974,left
28,-1042.8006930202237,right
29,-836.4413957929044,right
30,-836.4413957929044,left
31,-1026.3340626040626,right
32,-1026.3340626040626,straight
33,-1075.0362359366825,right
34,-798.2231928946214,right
35,-826.2173001679081,right
36,-791.4420910444442,right
37,-820.3758637658638,right
38,-664.1667603986539,right
39,-556.064023478533,right
40,-604.7686999070463,straight
41,-571.6226608166844,right
42,-626.2079739376218,right
43,-646.7537068842108,right
44,-681.3129840236777,right
45,-279.36976731728225,left
46,-537.6089622937449,right
47,-537.6089622937449,left
48,-449.20756665150043,right
49,-557.3611339837158,right
50,-342.2046608188164,left
51,-413.7426851792645,right
52,-291.90811524883577,right
53,-280.58722624908495,right
54,-296.74640852781596,left
55,-393.19150776842014,right
56,-229.63726655240862,right
57,-320.19088361703837,right
58,-235.56527371718312,right
59,-195.18362806444316,left
