frame,x_offset,turn
2,-358.77538173678977,right
3,-358.77538173678977,right
4,-358.77538173678977,straight
5,-358.77538173678977,straight
6,-5.85041407867493,right
7,-220.3301587301587,left
8,-220.3301587301587,straight
9,-220.3301587301587,straight
10,-285.02349841938883,right
11,-282.8034890290987,left
12,-282.8034890290987,right
13,-282.8034890290987,straight
14,-282.8034890290987,straight
15,-282.8034890290987,straight
16,-282.8034890290987,right
17,-282.8034890290987,straight
18,-282.8034890290987,straight
19,-282.8034890290987,straight
20,-282.8034890290987,right
21,-282.8034890290987,straight
22,-208.31439393939394,left
23,-208.31439393939394,straight
24,-208.31439393939394,straight
25,-208.31439393939394,straight
26,-208.31439393939394,straight
27,-208.31439393939394,straight
28,-208.31439393939394,straight
29,-208.31439393939394,right
30,-208.31439393939394,straight
31,-208.31439393939394,left
32,-211.04285714285714,left
33,-211.04285714285714,straight
34,-211.04285714285714,straight
35,-211.04285714285714,straight
36,-211.04285714285714,right
37,-211.04285714285714,straight
38,-211.04285714285714,straight
