frame,x_offset,turn
1,-390.3379883467535,right
2,-436.1910387418802,right
3,-445.67271293204715,right
4,-418.29670923169203,right
5,-383.5938819073054,right
6,-442.32222989400145,right
7,-264.32402772209656,right
8,-408.9513235713699,right
9,-174.5688800830149,right
10,-143.2023102649112,right
11,-229.7054827989367,right
12,-103.20510042234059,right
13,-116.63693057848673,right
14,-301.88724793729625,right
15,-398.4630846080614,right
16,-411.29611310900236,right
17,-383.5790947606183,right
18,-243.06943499618836,right
19,-127.17149485267123,right
20,-3.155340595596499,right
21,-355.6128444026772,right
22,-38.27241448899383,right
23,-68.3193692837392,right
24,-70.13661220442896,right
25,142.8774559301712,left
26,-245.5890024700393,right
27,-200.35089044189607,right
28,-200.78386005206727,right
29,-146.34539928682574,right
30,-190.4262311696437,right
31,-225.72282724104633,right
32,-49.27129967482699,right
33,-103.39816582005801,right
34,-226.49163265716828,right
35,-189.16684467147206,right
36,-189.16684467147206,left
37,-189.16684467147206,left
38,-128.11307990433272,right
