frame,x_offset,turn
16,3.0,left
17,6.0,left
18,9.0,left
19,12.0,left
20,15.0,left
21,18.0,left
22,21.0,left
23,24.0,left
24,27.0,left
25,30.0,straight
26,33.0,left
27,36.0,left
28,39.0,left
29,42.0,left
30,45.0,left
31,48.0,left
32,51.0,left
33,54.0,left
34,51.0,straight
35,48.0,straight
36,45.0,straight
37,42.0,straight
38,39.0,straight
39,36.0,straight
40,33.0,straight
41,30.0,straight
42,27.0,straight
43,24.0,straight
44,21.0,straight
45,24.0,left
46,21.0,straight
47,18.0,straight
48,15.0,straight
49,12.0,straight
50,15.0,straight
51,12.0,straight
52,9.0,straight
53,12.0,straight
54,9.0,straight
55,6.0,straight
56,9.0,straight
57,12.0,straight
58,9.0,straight
59,12.0,straight
60,15.0,straight
61,18.0,straight
62,15.0,straight
63,12.0,straight
64,9.0,straight
65,6.0,straight
66,3.0,straight
67,6.0,straight
68,9.0,straight
69,6.0,straight
70,9.0,straight
71,6.0,straight
72,3.0,straight
73,0.0,straight
74,-3.0,straight
75,0.0,straight
76,3.0,straight
77,6.0,straight
78,3.0,straight
79,6.0,straight
80,3.0,straight
81,0.0,straight
82,-3.0,straight
83,-6.0,straight
84,-9.0,straight
85,-6.0,straight
86,-9.0,straight
87,-12.0,straight
88,-13.856471190626781,straight
89,-16.85647119062678,straight
90,-13.856471190626781,straight
91,-16.85647119062678,straight
92,-19.85647119062678,straight
93,-22.85647119062678,straight
94,-25.85647119062678,straight
95,-22.85647119062678,straight
96,-25.85647119062678,straight
97,-22.85647119062678,straight
98,-25.85647119062678,straight
99,-28.85647119062678,straight
100,-31.85647119062678,straight
101,-34.85647119062678,straight
102,-37.85647119062678,straight
103,-40.509873922198366,straight
104,-43.509873922198366,straight
105,-40.98120598923491,straight
106,-43.98120598923491,straight
107,-46.98120598923491,straight
108,-49.98120598923491,straight
109,-52.98120598923491,straight
110,-55.98120598923491,straight
111,-58.98120598923491,straight
112,-61.98120598923491,straight
113,-58.98120598923491,straight
114,-55.98120598923491,straight
115,-52.98120598923491,straight
116,-49.98120598923491,straight
117,-46.98120598923491,straight
118,-43.98120598923491,straight
119,-40.98120598923491,straight
120,-37.98120598923491,straight
121,-34.98120598923491,straight
122,-31.98120598923491,straight
123,-28.98120598923491,straight
124,-25.98120598923491,straight
125,-22.98120598923491,straight
126,-19.98120598923491,straight
127,-16.98120598923491,straight
128,-13.981205989234908,straight
