frame,x_offset,turn
1,86.36352651399159,left
2,86.36352651399159,left
3,5.394464895649321,straight
4,6.241898041546051,straight
5,11.87603704147341,straight
6,4.863959605812056,straight
7,5.309119899318034,straight
8,5.123780695234586,straight
9,-0.468970624305598,straight
10,3.96092474690613,straight
11,3.96092474690613,left
12,3.96092474690613,left
13,3.96092474690613,left
14,3.96092474690613,left
15,3.96092474690613,left
16,3.96092474690613,left
17,3.96092474690613,left
18,3.96092474690613,left
19,3.96092474690613,left
20,3.96092474690613,left
21,3.96092474690613,left
22,3.96092474690613,left
23,3.96092474690613,left
24,3.96092474690613,left
25,3.96092474690613,left
26,3.96092474690613,left
27,3.96092474690613,left
28,3.96092474690613,left
29,3.96092474690613,left
30,3.96092474690613,left
31,3.96092474690613,left
32,3.96092474690613,left
33,3.96092474690613,left
34,3.96092474690613,left
35,3.96092474690613,left
36,3.96092474690613,left
37,3.96092474690613,left
38,3.96092474690613,left
