frame,x_offset,turn
1,-92.28622158442056,right
2,-97.19089544567191,right
3,-98.06655360254581,right
4,-106.26931184534237,right
5,-112.45555862284402,right
6,-58.99901469048359,right
7,-71.14250941341629,right
8,-92.28920277367683,right
9,-102.02819973885448,right
10,-63.0657977540983,right
11,-113.54381917267597,right
12,-61.9693680942371,right
13,-97.81105252706618,right
14,-97.75731085142718,right
15,-88.67843485145818,right
16,-107.67186295566171,right
17,-94.76706009364602,right
18,-109.48136490841,right
19,-98.02225147373792,right
20,-113.88132747751479,right
21,-97.00598656922773,right
22,-105.53250315723551,right
23,-107.58713685907287,right
24,-101.99251362247549,right
25,-93.38478775914643,right
26,-65.8163235258844,right
27,-116.78385626869033,right
28,-102.21865156354045,right
29,-97.14467751954078,right
30,-101.8448744863,right
31,-107.72687652124819,right
32,-81.34336921567092,right
33,-100.4946055509356,right
34,-96.67142574378045,right
35,-94.74502458783923,right
36,-104.51618518170983,right
37,-99.49598181357817,right
38,-96.83012917202313,right
