frame,x_offset,turn
1,-3.0,straight
2,-6.0,straight
3,-5.655048057896579,straight
4,-8.655048057896579,straight
5,-7.784104360699644,straight
6,-10.784104360699644,straight
7,-11.428556451650092,straight
8,-11.038933520145392,straight
9,-12.895430704501575,straight
10,-15.895430704501575,straight
11,-14.306145364864992,straight
12,-15.459868764516026,straight
13,-16.688827203061084,straight
14,-17.92476354158561,straight
15,-15.876165852485908,straight
16,-15.927859716723308,straight
17,-17.582188644948705,straight
18,-16.921643171578424,straight
19,-14.223243458671334,straight
20,-14.343588580254982,straight
21,-15.647528480104047,straight
22,-17.65783707926561,straight
23,-17.538032378951897,straight
24,-19.507948339902374,straight
25,-21.575124964555734,straight
26,-19.97514294830524,straight
27,-19.029758786715327,straight
28,-18.82901174472491,straight
29,-19.116198812049493,straight
30,-19.197205773442775,straight
31,-19.45327615100647,straight
32,-18.25916612124782,straight
33,-20.285142266301172,straight
34,-18.55149173346493,straight
35,-18.29256778698532,straight
36,-16.88263794525077,straight
37,-16.206444003554253,straight
38,-15.212774782705925,straight
39,-12.212774782705925,straight
40,-11.743469650630042,straight
41,-9.804908867828939,straight
42,-8.7470364337772,straight
43,-5.7470364337772,straight
44,-4.7092478512354345,straight
45,-3.093212563947602,straight
46,-1.4161285942216286,straight
47,-0.31152462555779414,straight
48,-1.1322336630071617,straight
49,-3.494082883890478,straight
50,-1.0892743005063892,straight
51,-0.6151035880684048,straight
52,-1.9572999979186398,straight
53,-0.09987561102742637,straight
54,2.1893196629515295,straight
55,2.8431266606920618,straight
56,4.765351703919803,straight
57,5.888133815128661,straight
58,6.760654989662493,straight
59,7.420285103820989,straight
60,6.604458554708937,straight
61,6.0661914851433005,straight
62,6.172013590433068,straight
63,6.9906012818952386,straight
64,5.725047656481616,straight
65,4.91721058595494,straight
66,6.112427966727802,straight
67,5.540248032932477,straight
68,6.136118003056864,straight
69,5.804756997926881,straight
70,6.927523009608349,straight
71,8.12056540127097,straight
72,9.745209804291132,straight
73,10.99779959617426,straight
74,13.99779959617426,straight
75,16.400462623944225,straight
76,16.88659860085344,straight
77,19.88659860085344,straight
78,22.88659860085344,straight
79,25.88659860085344,straight
80,28.88659860085344,straight
81,31.88659860085344,straight
82,34.057937492271165,straight
83,34.114112398969915,straight
84,34.0338739161398,straight
85,34.581999413532515,straight
86,36.9021778900425,straight
87,33.9021778900425,straight
88,30.902177890042502,straight
89,27.902177890042502,straight
90,24.902177890042502,straight
91,21.902177890042502,straight
92,18.902177890042502,straight
93,15.902177890042502,straight
94,12.902177890042502,straight
95,10.05660521486422,straight
96,7.05660521486422,straight
97,4.5771546434352555,straight
98,1.6090476788165957,straight
99,-1.3909523211834043,straight
100,-3.0706292384038867,straight
101,-0.07062923840388668,straight
102,-2.708590696636183,straight
103,-1.0335662229736304,straight
104,1.9664337770263696,straight
105,3.3113326110540147,straight
106,6.311332611054015,straight
107,8.510415442447266,straight
108,9.542800257079248,straight
109,12.542800257079248,straight
110,12.921061034222724,straight
111,10.001429172198522,straight
112,9.852089341098504,straight
113,12.626901182450716,straight
114,14.431766928973975,straight
115,13.201536540166709,straight
116,15.870021822903102,straight
117,17.670483021929037,straight
118,20.670483021929037,straight
119,22.778322006101547,straight
120,24.592302074542637,straight
121,26.335547916940193,straight
122,25.23234241199139,straight
123,24.354692138857303,straight
124,22.75096255733083,straight
125,23.96113623447033,straight
126,26.96113623447033,straight
127,26.105064865030908,straight
128,29.105064865030908,straight
129,30.856648679923918,straight
130,30.032669182319975,straight
131,28.474636176541388,straight
132,26.435808299295893,straight
133,26.044655020931163,straight
134,26.32969681721105,straight
135,26.181900338767157,straight
136,29.181900338767157,straight
137,31.163392457032234,straight
138,31.033814258813564,straight
139,28.033814258813564,straight
140,25.033814258813564,straight
141,22.033814258813564,straight
142,19.033814258813564,straight
143,16.226836370527973,straight
144,13.226836370527973,straight
145,10.226836370527973,straight
146,9.73142527381493,straight
147,10.051731112964019,straight
148,13.051731112964019,straight
149,16.05173111296402,straight
150,19.05173111296402,straight
151,22.05173111296402,straight
