frame,x_offset,turn
6,-409.59684548925054,left
7,-409.59684548925054,right
8,-409.59684548925054,right
9,-409.59684548925054,straight
10,-409.59684548925054,right
11,-409.59684548925054,right
12,-409.59684548925054,right
13,-409.59684548925054,right
14,-409.59684548925054,right
15,-809.7683418200295,right
16,-809.7683418200295,straight
17,-433.1047619047619,right
18,-433.1047619047619,left
19,-433.1047619047619,right
20,-409.359756097561,left
21,-409.359756097561,right
22,-409.359756097561,right
23,-409.359756097561,right
24,-411.6105313092979,left
25,-411.6105313092979,right
26,-411.6105313092979,straight
27,-411.6105313092979,straight
28,-411.6105313092979,left
29,-798.2053412274,right
30,-798.2053412274,left
31,-798.2053412274,left
32,-447.58527121708005,right
33,-447.58527121708005,left
34,-447.58527121708005,left
35,-447.58527121708005,left
36,-447.58527121708005,left
37,-447.58527121708005,left
38,-426.58401029469167,right
39,-426.58401029469167,left
40,-426.58401029469167,left
41,-778.2276785714286,right
42,-778.2276785714286,left
43,-778.2276785714286,left
44,-778.2276785714286,left
45,-451.381734006734,left
46,-800.956197554584,right
47,-817.4033850304604,right
48,-862.92490470314,right
49,-631.1120297441657,right
50,-715.7397840363082,right
51,-660.1241455215378,left
52,-657.2375915735869,right
53,-657.4702304437993,left
54,-519.4285407526864,left
55,-589.389494690029,left
56,-581.7380326404285,straight
57,-481.80823717752594,straight
58,-361.82031877364454,left
59,-465.97858338370736,right
60,-436.1628672959508,right
61,-326.8717469011879,right
62,-346.258953397177,right
63,-181.4666293783821,left
64,-135.53415522701818,right
65,-367.7222572186473,right
66,-13.36665940695866,right
67,114.2940598017035,right
68,276.81604646063533,left
69,191.50739921409695,right
70,194.83833175331188,left
71,135.3256274681089,right
72,17.885866964873458,right
73,65.9745566255599,right
74,83.73757555632585,straight
75,106.26703670145389,right
76,68.80449461990077,right
77,45.31941619367933,right
78,45.0931993678862,right
79,62.72773886445748,left
80,19.73760198854211,left
81,-110.51734333037462,left
82,-105.33341107419096,left
83,-98.37695563451928,right
84,-314.25101165311156,right
85,-233.71763569084987,left
86,-194.45540263036298,left
87,-320.3715087435366,right
88,-376.3776427642406,left
89,-302.38074135589216,right
90,-151.539701272812,right
91,-178.0470206016024,straight
92,-214.7299779760532,right
93,-179.5818921295222,right
94,-298.1212345417957,right
95,-296.6902167317357,right
96,-237.8118300364057,right
97,-317.64053865503683,right
98,-289.1236634619696,right
99,-250.40287765796882,right
100,-231.3340571404509,right
101,-165.48062648405033,right
102,-240.83360179395936,right
103,-193.01351748193815,right
104,-290.0109153949139,right
105,-328.312698916338,right
106,-180.55675413625823,right
107,-312.87907416969693,right
108,-277.4963485319872,right
109,-187.33759320442732,left
110,-248.96220023126318,right
111,-286.9301854485116,right
112,-323.64508801389155,right
113,-99.08551048360687,left
114,-233.6162667186153,right
115,-234.68832953376796,right
116,-234.29203818835072,right
117,-279.3096119172935,right
118,-287.498828671487,right
119,-200.67376495467352,right
120,-279.8199546487439,right
121,-348.69847021300626,right
122,-327.1152134165442,right
123,-275.2975604233102,right
124,-249.2289805894568,right
125,-269.5753425810332,right
126,-195.34886324698812,right
127,-216.18162659740767,right
128,-182.45589211954115,right
129,-223.69389890865432,left
130,-307.4730862286588,right
131,-286.4707620086675,right
132,-188.13354151262547,right
133,-175.64486607603504,left
134,-288.51531927663007,right
135,-262.24465126811305,right
136,-375.7751764261217,left
137,-160.68531022792376,left
138,-264.68402936887156,right
139,-332.70513124862015,right
140,-434.27712271797236,right
141,-204.19230789288383,right
142,-87.37294830879307,left
143,-259.75055688679106,right
144,-294.28986457865835,right
145,-260.7939687081225,right
146,-243.80025447025514,right
147,-280.45511631059793,right
148,-200.16901354829577,right
149,-137.48411321688332,left
150,-216.3878644926001,right
151,-136.40334504021052,left
152,-272.74054622285183,right
153,-279.42441382209313,right
154,-353.286680853834,left
155,-298.58874591262753,right
156,-196.8978777025559,right
