frame,x_offset,turn
1,-0.05437975032689338,straight
2,-0.12391002572019717,straight
3,0.05599175855793055,straight
4,-0.7843594832264837,straight
5,-0.7796723964318877,straight
6,-1.7638746051917875,straight
7,-0.8213780271248081,straight
8,-1.142529768510303,straight
9,-3.1731516212690303,straight
10,-0.742320323671426,straight
11,-1.7444366730951437,straight
12,-0.5411232424939436,straight
13,-0.08957117156217409,straight
14,-0.34039937883326593,straight
15,-3.013226946381426,straight
16,-1.8812624269876805,straight
17,-2.826822933903502,straight
18,-2.05909301193325,straight
19,-2.2889196025750893,straight
20,-3.3807377593906818,straight
21,-2.9298491547434864,straight
22,-2.4045199409861824,straight
23,-2.8519531050763183,straight
24,0.14804689492368173,straight
25,-0.6606849948297161,straight
26,-3.660684994829716,straight
27,-2.9724396860202837,straight
28,-1.3744114836934074,straight
29,0.37788082201028605,straight
30,-0.3701295292529585,straight
31,0.18221047840330995,straight
32,-1.8049179643291349,straight
33,-3.731927243070515,straight
34,-3.57959772653528,straight
35,-3.514523908482997,straight
36,-4.106798310514225,straight
37,-3.5407214830335105,straight
38,-2.0362914721411034,straight
39,-1.6196526459639486,straight
40,-3.6655453296879124,straight
41,-6.001315384629468,straight
42,-8.578135641036923,straight
43,-10.062295181433353,straight
44,-9.547903283882587,straight
45,-11.036523913660947,straight
46,-11.110567542277161,straight
47,-12.114707122664875,straight
48,-13.948055358694097,straight
49,-14.72354364592964,straight
50,-14.563121967219457,straight
51,-13.807756500927859,straight
52,-14.709913581913355,straight
53,-14.63397908831962,straight
54,-15.629366392193651,straight
55,-15.837816459075274,straight
56,-14.700597994846433,straight
57,-14.709556410061566,straight
58,-15.393984750690787,straight
59,-15.592859369180095,straight
60,-12.592859369180095,straight
61,-12.03339188691729,straight
62,-11.774758426791507,straight
63,-9.638841414404045,straight
64,-7.170006100059473,straight
65,-6.970280346331644,straight
66,-8.149181582196555,straight
67,-7.232809751463111,straight
68,-8.776376833428563,straight
69,-7.242250892030226,straight
70,-4.242250892030226,straight
71,-1.242250892030226,straight
72,1.757749107969774,straight
73,4.757749107969774,straight
74,7.757749107969774,straight
75,10.757749107969774,straight
76,13.757749107969774,straight
77,16.160199286375814,straight
78,19.160199286375814,straight
79,21.983988488929707,straight
80,23.620524124477114,straight
81,26.620524124477114,straight
82,28.549436540960993,straight
83,28.193120661340217,straight
84,26.48011229261898,straight
85,26.21064155823311,straight
86,26.31265303153273,straight
87,25.95726848257386,straight
88,23.538542058786362,straight
89,20.538542058786362,straight
90,17.538542058786362,straight
91,14.538542058786362,straight
92,11.538542058786362,straight
93,8.538542058786362,straight
94,5.538542058786362,straight
95,2.538542058786362,straight
96,-0.4614579412136379,straight
