frame,x_offset,turn
2,48.584790337997106,straight
3,47.53938807970121,left
4,39.85660354450761,left
5,39.85660354450761,right
6,39.85660354450761,straight
7,39.85660354450761,straight
8,39.85660354450761,right
9,-376.9983500417711,right
10,-381.37364853667424,right
11,-246.13104494265656,right
12,-144.13536114597457,left
13,-119.93136399767423,right
14,-216.56453714912902,right
15,-121.99082563967238,left
16,-91.49460143487045,left
17,-185.2885731168434,right
18,-52.12352587863802,right
19,-375.79348326186584,right
20,-277.76853041693016,right
21,-237.40509228212966,right
22,-167.66722633366436,right
23,-116.27670932012256,right
24,103.92315287537849,right
25,-124.27631699849519,right
26,263.2651282051281,left
27,263.2651282051281,straight
28,263.2651282051281,straight
29,263.2651282051281,right
30,263.2651282051281,right
31,263.2651282051281,right
32,309.98479139727374,left
33,309.98479139727374,right
34,-321.83610024819586,left
35,-321.83610024819586,right
36,-321.83610024819586,right
37,-321.83610024819586,right
38,-321.83610024819586,straight
